texts,class
ทุกเช้าที่เราตื่นมีความสุขทุกครั้งที่ได้ยืนอยู่หน้ากระจกพร้อมกับลูกค้ายินดีต้อนรับนะคะ,1
วันสัมคัญพิสเรย์มีความสุขหลายเด้อ,1
สุขสันต์วันเด็กค่ะมีความสุขอยู่กลางขนม,1
คืนนี้ก้จะประมาณนี้อบอุ่นมีความสุข,1
สุขสันต์วันครูมีความสุขมากกน่ะค่า,1
วันนี้ทีรักได้มาหามีความสุข,1
มอนิ่งมีความสุขกับสิ่งที่มีดอนนูดฟาร์ม,1
เราก็แค่ชอบแกล้งมีความสุข,1
งานแต่งงานมีความสุขมากนะคัฟรัก,1
สายเปย์จ้าวันนี้มีความสุขข,1
มกราคมปีเต็มที่ก้าวเข้ามาอยู่ที่นี้มีความสุขมากค่ะ,1
เราจะไปปล่อยเต่าด้วยกันณหาดไม้ขาวจภูเก็ตมีความสุขทุกครั้งที่ได้อยู่บนเส้นทางนักวิ่ง,1
เดือนผ่านไปไวเหมือนโกหกมีความสุขมาก,1
นอกจากเป็นแม่ทูลหัวแล้วยังเป็นแม่บ้านด้วยนะรับสักที่มั้ยคะมีความสุขอยู่กับอาหาร,1
ภาพบอกความรู้สึกก็จะประมาณนี้แหล่ะค๊าการเริ่มต้นใหม่ที่ดีมีความสุข,1
ทำไมวันนี้มีความสุขเป็นพิเศษง่ะ,1
รอยยิ้มเราบริสุทธิ์มั้ยมีความสุข,1
ทำไปเพื่ออะไรไม่รู้แต่ที่ทำอยู่มีความสุขดี,1
กินข้าวอิ่มเราก็คลานออกมามีความสุขหลายคถความหลังเด้,1
ก็กินดีอยู่ดีอยู่เด้ล่ะมีความสุขพร้อม,1
เก็บตกงานแต่งงานเพื่อนเฟิร์นมีความสุขหลายเด้อคนงามของเพื่อน,1
อยู่คนเดียวก็มีความสุขได้นะมีความสุขกับการกิน,1
ความสุขไม่ได้อยู่กับเราไปตลอดเพราะฉะนั้นต้องทำให้ตัวเองมีความสุข,1
มีความสุขที่สุดคือการได้อยู่กับครอบครัวของขวัญวันเกิดลูกชายปันโย,1
วันหยุดเราไม่หยุดชีวิตแม่ค้าทำไปอย่าบ่นเพื่ออนาคตครอบครัวมีความสุขกับสิ่งที่ทำ,1
วันแรกของอาชีพแม่ค้ามีความสุข,1
เราไม่รู้หรอกว่าเธอมีความสุขตอนที่อยู่กับใครแต่ที่รู้เรามีความสุขตอนอยู่กับเธอ,1
ชอบวันนี้อ้ะมีความสุขสุดร้ะ,1
วันเกิดนางเลยพานางเลาะมีความสุขและความฮาทุกครั้งที่อยู่ด้วยกันขอบคูณปีที่มีความหมาย,1
ทำบุญทำบุญเที่ยวเที่ยวมีความสุข,1
สุขกายสบายใจมีความสุขที่สุด,1
จุดหมายไม่ได้อยู่ที่ปลายทางแต่มันอยู่ล่ะหว่างทางที่ไปมีความสุขกับชีวิต,1
มีความสุขชีวิตห้อยอยู่บนเข็มไมล์,1
คิดถึงจังมีความสุขมากมาย,1
จ๊ะเอ๋นอนกันรึยังมีความสุขทั้งกายและใจนะจ้ะ,1
มีความสุขและภูมิใจกับสิ่งที่เราทำมีความสุขและภูมิใจในสิ่งที่เราทำโอเคป่ะ,1
ไม่ใช่สายสวยแต่อยู่ด้วยแร้วมีความสุขนะ,1
ไม่ต้องสุดกว่าใครไม่ต้องสวยกว่าใครขอแค่ขับมันไปและมีความสุขก็พอ,1
เป็นช่วงเวลาที่ยิ้มได้เต็มที่หัวเราะได้เต็มร้อยและอ่อยผู้ได้เป็นพันอุ้ยลั่นมีความสุขมาก,1
ไปไหนไปกันมีความสุขทุกครั้งที่ได้อยู่กับนาง,1
ถึงจะอยู่ด้วยกันแค่เวลาสั้นแต่ก็มีความสุขมากนะ,1
มาร่วมงานบุญคนเยอะมากงานบรรพชาอุปสมบทหมู่มีความสุข,1
สวุสดีจ้าววันพฤหัสบดีสีแสดสดใสมีความสุขสดชื่นเน้อจ้าว,1
ใครคือผู้หญิงโชคดีที่สุดก็เรานี่แหละลูกน่ารักสามีน่ารักพ่อแม่น่ารักกัลยาณมิตรดีมีความสุข,1
อรุณสวัสดิ์ค่ะทุกคนสุขทุกข์อยู่ที่เรากำหนดปล่อยวางบ้างอย่าไปยึดติดกับมันมากนักมีความสุขทุกคนนะคะ,1
ทำตัวติดดินดีกว่ามีความสุขกว่าเย้อะ,1
แค่นี้ก้พอมีความสุขมากอยู่แล้วมีแค่เราไม่มีใครอั้ยเตี้ยขี้งอล,1
ไม่จำเป็นต้องยืนอยู่ในจุดที่ดีที่สุดแค่มีความสุขในจุดที่ยืนก็พอ,1
เมื่อมาถึงจุดนึงของชีวิตเราก็ไม่ได้ต้องการอะไรมากไปกว่าความสบายใจอยู่กับธรรมชาติและวิถีชีวิตที่เรียบง่ายมีความสุขมากกว่าบ้านหลังใหญ่,1
ทันป่ะเก็บตกลอยกระทงเก็บไว้ในความทรงจำมีความสุขดี,1
กาลเวลาคือเครื่องพิสูจน์ส่วนใบมะกรูดคือเครื่องต้มยำแฮร่มีความสุขทุกครั้งที่อยู่บนรถ,1
ทริปนครพนมมุกดาหารมีความสุขมาก,1
ไหว้พระขอพระมีความสุข,1
หมูกะทะครับผมมีความสุขกับครอบครัวคนอ้วน,1
วันนี้เราทั้งสองคนมีความสุขจังเลย,1
เพื่อนเก่าบรรยากาศเดิมที่เคยอยู่นั่งคุยเรื่องเมื่อก่อนมีความสุขดีนะ,1
จะมีสักกี่คนที่เราอยู่ด้วยแล้วมีความสุข,1
เหนื่อยน่ะแต่ก็มีความสุขเพราะเรารู้ว่าสิ่งที่ทำอยู่เพื่อคนที่เรารัก,1
มีความสุขทุกครั้งที่ได้อยู่กับเพิ่ลรักน๊ะ,1
อะไรที่เราทำแล้วมีความสุขไม่ได้ทำให้ใครเดือดร้อนก็ทำไปมีความสุขกับสิ่งที่ทำ,1
ทริปขอนแก่นเด้อคะเด้อเช้าจรดเย็นมีความสุขแบบบ้านเฮา,1
รักที่สุดก็ผู้หญิงที่ขึ้นชื่อว่าแม่คนนี้แหละแม่พากินช็อปเที่ยวไปอีกวันมีความสุขจัง,1
สุขสันต์วันหยุดค่ะสวมหมวกเรียนรู้อยู่เสมอมีความสุขในวันหยุดพักผ่อนนะคะ,1
ทริปหนาวติดดินมีความสุข,1
สวัสดีจ้าพี่ตื่นยังคะวันนี้สายนี้ทำขนมหวานทานดีมั้ยคะมีความสุขกายสุขใจทุกท่านนะคะพี่,1
ขอบคุณนะที่มาวันนี้มีความสุข,1
วันของแนททมีความสุขมากน้ะะ,1
วันที่น่าเบื่อมันน้อยกว่าวันที่เรามีความสุขอยู่แล้ว,1
ครอบครัวที่ใหญ่ยิ่งยังไม่ครบขาดสมาชิกอีกประมาณกว่าคนมีความสุขที่ซู๊ด,1
งานแต่งเพื่อนโก้ยินดีด้วยน่ะมีความสุขมากน่ะเพื่อนโก้,1
กินป่ะไข่เต่ามีความสุขเมื่อได้กิน,1
หมูตัวนี้ชอบทำให้มีความสุข,1
พุ้งนี้แล้วสิน้ะมีความสุขจัง,1
ครั้งแรกที่ได้ลอยกระทงกับน้องชายมีความสุข,1
ถึงแม้ว่าวันนี้เรายังทำไม่ได้ดีที่สุดแต่ถ้าเรามีความสุขที่สุดมันก็ดีที่สุดล่ะ,1
เครียดนะเลยต้องหาอะไรที่ทำให้เรายิ้มได้มีความสุขกับการกิน,1
วันนี้พี่น่ารักถึงเราจะไม่ได้เจอกัลบ่อยสำหรับวันนี้ก็มีความสุขมากแร้วเจอกัลใหม่เดือนน่าน่ะผุ้ชายมีหนวด,1
อยู่แบบนี้ดีแล้ววมีความสุขดี,1
อยู่กับธรรมชาติจนชินอากาศดีที่บ้านเราหัวเช้าฟินที่สุดก่อนไปทำงานมีความสุข,1
วันนี้วันอะไรเนี้ยมีความสุขจังเลย,1
แล้วเราจะสวยไปด้วยกันอุ่ยหน้ากากโอชิมีความสุขที่พอเพียงและเพียงพอ,1
มีความสุขทุกครั้งที่ได้อยู่ใกล้ธรรมชาติ,1
ไม่จำเป็นต้องเหมาะสมหรือคู่ควรที่สุดแค่เวลาอยู่ด้วยกันแล้วมีความสุขก็พอ,1
มันเป็นความสุขที่มีอยู่จริงมีความสุขกันทั้งครอบครัว,1
มีความสุขมากจริงขอบคุณยูนิลีเวอร์เน็ทเวิร์กที่ดูแลพวกเราดี๊ดีคะ,1
ความสุขของฤทัยมีความบ้าอยู่นิด,1
ที่ยิ้มเพราะไม่ทุกข์มีความสุขอยู่รู้ป่ะ,1
ไม่สวยแต่อร่อยกับข้าวนะมีความสุข,1
กลิ่นของชัยชนะมีความสุข,1
สานฝันจะเสร็จหรือไม่เสร็จอยู่ที่ตัวเรามีความสุขกับของเราดีกว่ามีความสุขกับของคนอื่นหรือวัตถุคนอื่น,1
นั่งรับอากาศเย็นบ้านเรามีความสุขที่สุดเลย,1
เรื่องเล่าของพวกเราอยู่ท่ามกลางมิตรภาพเสมอมีความสุขกับช่วงเวลาพักผ่อนทุกท่านนะครับ,1
เป็นผู้หญิงต้องอดทนผู้ชายเดินชนอุ๊ยชื่อรายคร๊ะมีความสุข,1
งานบุญเราก็มาแคล้วคลาดปลอดภัยมีความสุขตลอดไป,1
อย่างน้อยคนที่บ้านก็ไม่เคยหักหลังหรือโกหกมีความสุขเมื่อได้กลับมาบ้าน,1
บุหรี่ก็เลิกเหล้าเบียก็เลิกพุสาวกะเลิกมีความสุขแฮงโว๊ย,1
แอฟในโทรศัพร์สามารถทำหัยเราหัวเราะตัวเองดายมีความสุขกับตัวเอง,1
วันนี้อากาศเป็นใจพาเด็กแว่นมาหมู่บ้านแมวนางบอกมาที่นี่ห้ามถ่ายหมาเพราะเรามาหมู่บ้านแมวพ่ามมีความสุข,1
อาหารวันหยุดกินจนพุงหลามโตมากับผักน้ำพริกกะปิมีความสุขทุกครั้งที่ได้กิน,1
มาอร่อยแซ่บที่ตะบันตำครอบครัวมีความสุข,1
มีความสุขทุกครั้งที่ได้ยินคำว่าวันหยุด,1
น่าตากะสิเป็นแนวนี้หละน่ากินบ่มีความสุขในกานกิน,1
อย่าเอาตัวเองไปเปรียบเทียบกับใครเพราะเราก็คือเราเป็นตัวของตัวเองมีความสุขในแบบที่เราเป็น,1
มากับครอบครัวมีความสุข,1
วันนี้มีผู้ชายเลี้ยงข้าวอิอิอิมีความสุข,1
จะกินจนกว่าจะผอมมีความสุข,1
รู้เเค่ว่าอยู่ใกล้เค้าเเล้วเรามีความสุข,1
มาทำบุญกับครอบครัวมีความสุขมาก,1
ออร์เดอร์รอบนี้ปลายทางกทมคับจัดส่งเรียบร้อยนะครับมีความสุขอยู่ในจุดที่ตัวเองยืนครับ,1
รอยยิ้มมันทำให้ใครหลายคนมีความสุข,1
สมกับคำที่ว่าที่ไหนก่มีความสุขไม่เท่าบ้านเรามีความสุขแบบนี้,1
ชีวิตใครก็ชีวิตมันเราก็อยู่ในส่วนของเรามีความสุขกว่าเยอะ,1
เราทำอะไรแล้วมีความสุขนั่นคือเราทำสิ่งที่เรารัก,1
ของที่มีค่าต้องอยู่กับคนที่เห็นคุณค่ามีความสุขทุกครั้งที่ทำงาน,1
พาเด็กขับรถเล่นชมวิวถ่ายรูปชีวิตดี๊ดี,1
คนถ่ายก็ถ่ายไปคนทำงานก็ทำงานไปชีวิตดี๊ดี,1
นอนนอนนอนนอนและก็นอนชีวิตดี๊ดีอ่ะ,1
ไปส่งแม่ไปอบรมแล้วก้กลับนอนรอกินมื้อเย็นชีวิตดี๊ดี,1
ความสุขคือการทำให้คนที่เรารักมีความสุข,1
กินเนื้อย่างกะครอบครัวมีความสุข,1
สวดมนต์ข้ามปีมีความสุขจัง,1
ไม่ใช่คนสวยแต่อยู่ด้วยแล้วมีความสุข,1
จงคิดถึงสิ่งสวยงามที่ยังคงอยู่รายรอบตัวและมีความสุขไปกับมัน,1
ครอบครัวพ่อเอกสิทธิ์และแม่เมย์มีความสุข,1
สู้จ้ามีความสุขทุกครั้งที่มีงานทำ,1
อ่านหนังสือบ้างสับเปลือกมะพร้าวไว้ปลูกเมล่อนบ้างมีความสุขนะ,1
เผิ่ลกะพากันไปเทวมีความสุขหลายเด้อรักนะจุฟ,1
จุดที่เรายืนอาจจะไม่ใช่จุดที่ดีที่สุดแต่ถ้ามันทำให้เรามีความสุข,1
พาป๊ากะม๊ามากินข้าวก่อนมีความสุข,1
เราคือผู้อยู่เบื้องหลังคือผู้สรรสร้างเพื่อคนอื่นได้สุขสมมีความสุข,1
ไปอยู่ด้วยกันเลยมีความสุขนะ,1
เห็นแบบนี้กะเข้าวัดเด๋อคับสาธุมีความสุขจังเรยย,1
ช่วงอวบเชียวมีความสุข,1
มีความสุขนะที่มีแกอยู่ข้างกันเสมอเซอร์ไพรส์ตลอด,1
แค่ใจเราคิดว่ามีความสุขมันก็จะมีความสุขมีความรักได้ไหมใจจ๋า,1
ขอบคุณฟ้าที่มอบพรสวรรค์นี้ให้แก่ฉันมีความสุขทุกครั้งที่ได้ทำสิ่งนี้,1
ชอบเป็นผู้ให้มากกว่าเป็นผู้รับมีความสุข,1
มีความสุขทุกทีที่ได้ขี่มัน,1
ถึงบ้านโดยสวัสดิภาพมีความสุข,1
เนื้อย่างมีความสุขกะพี่ชาย,1
ไม่จำเป็นต้องยืนในจุดที่ดีที่สุดแค่มีความสุข,1
รักในสิ่งที่เป็นมีความสุข,1
นานครั้งจะได้มาสุขใจ,1
คนข้างหลังเป็นกำลังใจสุขใจ,1
บรรยากาศดีคักบรรยากาศแบบนี้หาได้แต่บ้านเฮานิล่ะสุขใจ,1
วันอาทิตย์ณวัดตะเคียนสุขใจ,1
สุขใจทั้งผู้ให้และผู้รับ,1
ร่ายกายไม่ใช่ของเราสิ่งเดียวที่นำติดตัวเองไปได้นั่นคือบุญกับบาปเพียงเท่านั้นสุขใจ,1
ทำบุญถวายเพลสุขใจที่ได้ทำ,1
ตลาดผักอินทรีย์สุขใจ,1
จันทร์สดใสสุขใจสุขกายสดชื่นแจ่มใส,1
สุขใจในยามเย็นนะค่ะสาธุค่ะ,1
สวยสมคำรำ่ลือสุขใจที่ได้มา,1
พ่อบอกว่าบ่คิดวาจะมีลูกเป็นลิงพะนะสุขใจทุกครั้งที่กลับบ้าน,1
สุขใจทุกครั้งที่ได้กับบ้านอุดรซิตตี้,1
สุขใจทุกครั้งที่มาบริจาคโลหิตอนุโมทนาบุญนะคะ,1
สุขใจที่ได้ร้อยพวงมาลัยสวยมั้ยคร้า,1
สุขใจในลานธรรมร่วมสวดมนต์เย็นและฟังธรรมเทศนาพระอาจารย์จรัญอนังคโณอนุโมทนาบุญกับทุกท่านค่ำคืนนี้สาธุค่ะ,1
สภาพหลังขายของเสร็จหัวฟูปวดขาปวดแขนสุขใจขายดี,1
สุขใจทุกครั้งเมื่อได้เห็นอุปกรณ์ช่วยชีวิตผู้ประสบอุบัติเหตุในเบื้องต้นที่อาตมาได้นำทุกท่านร่วมทำบุญกุศลในครั้งนี้,1
สุขใจวันเด็กเขาเป็นเด็กที่ไม่ชอบไปไหนอยากอยู่แต่ในบ้านหน้าจอคอมแชตกับเพื่อนชาวต่างชาติเกมส์ที่มีสาระเป็นภาษาอังกฤษดูทีวีก็ดูแต่หนังซีรี่ที่เป็นภาษาอังกฤษ,1
สุขใจที่ได้ทำแม้มันอาจจะไม่ได้หรูหรา,1
สุขใจกับทีมงานผลงานผ่านด้วยดีเพียงวันเราทำได้,1
สุขใจที่ได้ทำแพ็คของเตรียมไปตักบาตรข้าวสารอาหารแห้งเช้าวันพรุ่งนี้ณหมู่บ้านปรีชา,1
สุขใจตาลขันข้าววันเป็งปุ๊ดเจ้าสาธุ,1
สุขใจที่ได้ทำแบ่งปันเพื่อเพื่อนมนุษย์มีมากมีน้อยช่วยกันไปสาธุคะ,1
สุขใจทั้งผู้ให้สุขใจทั้งผู้รับมอบอุปกรณ์การศึกษาขนมตุ๊กตาหมวกไหมพรมลให้เด็กดอยศูนย์การเรียนชุมชนชาวไทยภูเขาแม่ฟ้าหลวงตะพิโจอำเภอท่าสองยางจังหวัดตาก,1
สุขใจสุขกายทั้งวันนะครับอรุณสวัสดิ์ครับผม,1
วันนี้ได้ไปไหว้พระทำบุญสุขใจสายบุญก็มา,1
ก็จะมีความสุขใจหน่อยสุขใจทุกครั้งที่ได้กลับมาแม่อาย,1
สุขใจมาเที่ยวงานวัดใหญ่ต่อด้วยไหว้หลวงพ่อพระพุทธชินราช,1
สุขใจวันหยุดสวัสดีมีความสุขทุกท่าน,1
ชีวิตที่บาล๊านซ์งานเงินครอบครัวและเวลาแม้ไม่มีข้อไหนมากมายแต่ข้างในนั้นสุขใจเหลือเกิน,1
สะสมบุญสุขใจ,1
มากี่ครั้งเย็นทุกครั้งสบายใจสุขใจ,1
สุขใจบ้านเรา,1
ครั้งที่สุขใจที่ได้ทำ,1
เอาบุญมาฝากคะทุกคนสุขใจในแบบเรา,1
สุขใจยามค่ำค่ะฝันดีมีความสุขตลอดคืนนะคะพรุ่งนี้วันพระค่ะอย่าลืมตื่นขึ้นมาทำบุญใส่บาตรกันนะคะ,1
อนุโมทนาบุญนะคะทำบุญสะเดาะเคราะห์สุขใจทุกครั้งที่กลับมาบ้าน,1
สุขใจทุกครั้งที่ได้เจอหน้ามีความสุขทุกครั้งที่ได้อยู่ใกล้กัน,1
สุขใจแค่ได้ยินเสียงก็ยังดีน้าก็คิดถึงหนูเหมือนกันนะครับน้องข้าวกล้อง,1
ไหว้พระขอพรสุขใจ,1
สุขใจสุขกายสบายใจสมหวัง,1
สุขใจทุกครั้งที่ได้ทำบุญพอมีแรงและกำลังสู้งานคืนนี้,1
สุขธรรมสุขใจในวันศุกร์สวดมนต์ปฎิบัติธรรมทุกวันศุกร์ตลอดปีตลอดไป,1
ไปส่งไม้หน่อยไม้ไปโรงเรียนแล้วไม่ร้องสุขใจที่มีเราคนเก่งมากแล้วสวัสดีคร๊าฟจุฟ,1
กลับแล้วจ๊ะแล้วพบกันใหม่เกาะพะงันสุขใจทุกครั้งที่ได้กลับมา,1
สนใจแม่หน่อย,1
สุขใจมีความเป็นพ่อลูก,1
แค่นี้ก็สุขใจในยามเช้าแล้ว,1
อะไรไม่จำเป็นก็ทิ้งไปสุขใจใครกำหนด,1
รอยยิ้มแห่งความสุขสุขใจยินดีกับเฮียกับเจ้ด้วยครับ,1
สุขใจอิ่มบุญมากคะอิ่มท้องด้วยโรงทาน,1
นายยิ้มเพราะนายมีความสุขสุขใจกับรอยยิ้มนายนะตตะวัน,1
สุขใจเมื่อได้เจอกันทางตาเมียงไม่ครบทีมขาดสองรอบหน้าจะพาไปทั้งหมดเลยสี่พี่น้องมาเจอสมกับความคิดถึงคุยกันลั่นบ้าน,1
สุขใจที่มีเธออยู่ในชีวิตฉัน,1
สุขใจที่มีเทอคนของ,1
กลับบ้านก็สุขใจขอบคุณทุกสิ่งที่ผมได้รับนะครับ,1
สุขใจที่เรายังรักกันตี้เสร็จแร้วกลับบ้านกันคับ,1
สุขใจสบายกายวันปุ๊ดความป่วยไข้จงคลายความสบายดีจงมาหาน๊าไปเท่วกันหม้ายตามมาสิ,1
สุขใจทุกครั้งที่ได้มาวัดมเหยงคณ์อยุธยา,1
สุขใจทอดกฐินบุญใหญ่รวมญาติ,1
สุขใจที่บ้านเรากับเขาสองคนลูกชายกะลูกสาว,1
อะหืมมางานวัดมันก็จะมีของกินแบบนี้อะมีความสุขสุขใจ,1
สุขใจยิ่งที่ได้มาชมพระเมรุมาศงดงามมากค่ะเป็นบุญตาของเราชาวไทยที่ได้มาชม,1
สุขใจหรือทุกข์ใจอยู่ที่ใจเราเอง,1
สุขใจจังป้อนข้าวชายฟลุคกินยังไม่เสดหลับสะแหล่ะ,1
มันก็คือความสุขอย่างหนึ่งของชีวิตพาคนที่เรารักมากินมื้อเที่ยงสุขใจ,1
สุขใจที่มีเธอเค้าเรียกว่าความรักความรักที่แท้จริงมันยิ่งกว่าในนิยายย,1
หวัดดีความอ้วนสุขใจที่บ้านเรา,1
พอจะเป็นนางงามได้มั๊ยคะฝนธนสุนธรสุขใจที่ได้ทำงาน,1
สุขใจไหนจะเท่าพบความสุขที่แท้จริงคือครอบครัว,1
อากาศดีวิวสวยใกล้บ้านเราสุขใจ,1
เสร็จแล้วเบอเกอร์ของเด็กเลี้ยงปีใหม่ห้องน้องคิมสุขใจที่ได้ทำเพื่อลูก,1
ตื่นเช้าไปหน่อยหน้าก็จะง่วงหน่อยสุขใจไหว้พระทำบุญ,1
ปีนี้สวดมนต์ข้ามปีที่วัดถ้ำเอาบุญมาฝากเพื่อนทุกคนนะคะสุขใจทุกครั้งที่ได้ทำบุญร่วมกัน,1
